speaker,timestamp,words,tags
Claude Sitton,,"Today is September the 9th, 2015. I'm Claude Sitton and I will be interviewing Elias Bryant at the History Museum of Burke County. Good afternoon.",
Elias Bryant,,"Good afternoon, Mr.Sitton.",
Claude Sitton,,"And I ask you to tell us a little bit about yourself, your background, where you grew up, your name, your family, whatever you want to tell about going to school, etc.",
Elias Bryant,,"I'm Elias Bryant. I'm the second of five children born to Robert Bryant and Mildred Bryant. We lived in the... we call it Tip Top section of Burke County. That would have been the... MacAlpine Elementary School where I went to school and after I went to Mac Alpine Elementary School I ended up going to Olive Hill. I went to Olive Hill for Three of my high school and in 19 and 65, 64, 65 we integrated. We was then assigned to Grand Pond High School. All right and.",
Claude Sitton,,"Tell us a little bit about what happened during those years of, say, '64 and '65 when you–",
Elias Bryant,,"Well, initially, when I first came to high school, I remember coming to high school, and I remember Mr. Carson and Mr. McIntosh. They were very good you know people who were there. And they knew most of my parents. They knew just about everybody, but they knew my parents. I also was in Mr. Coley's Future Farmers Home America program, and a lot of learning in that program. I had a good high school. I was in the band. Basically did that and we rode up. We bussed from McAlpine Elementary School to Olive Hill on one bus you know at that time.",
Claude Sitton,,Now how many years would you have gone to Olive Hill High School?,
Elias Bryant,,Three years. Three years.,
Claude Sitton,,So you really were integrated on your last year.,
Elias Bryant,,"Senior year, yeah.",
Claude Sitton,,Well tell us a little bit about your experiences during this period of time.,
Elias Bryant,,"Well, the first three years you know was was pretty good. I enjoyed my friends because you had friends, people that you know you grew up with and went to school with, and you made new friends. Well, in 1965, '66 was the first year of integration. And I'll never forget it because it left a little bad taste in my mouth, but I gained a great experience at the school. But the first year we came out, I'll never forget it, the principal said, I want all of the non-white students to go into the first floor of the of the auditorium, and I want the, he used the N-word, to go to the second part of the auditorium. And he says, Now the law says we got to go to school with these N-words, And we're not going to have any trouble. I remember that plain as it was just like yesterday.",
Claude Sitton,,"Well, let me ask that—",
Elias Bryant,,"And that's the only way I can remember. Yeah, it's the place where I can remember. And I and I was my uncle Chef. I don't know if you know Chef Brown or not. He was a concrete finisher, one of the prominent concrete finishers there, worked for a lot of the carpenters and people and he knew a lot of the people at that area.",
Claude Sitton,,Did we live down on Hwy. 18 South?,
Elias Bryant,,"No, I lived. I lived at your uncle. No, Chef lived. He lived up at the we call it Tip Top.",
Claude Sitton,,"OK,",
Elias Bryant,,"up on the Cathy Rd. His house,the 1st house after you passed.",
