speaker,timestamp,words,tags
Alex Bouk,0:00,"Okay, I'm gonna start with a little script. It's just for documentation purposes for our friends at NCSSM to kind of line everything up.",
,,,
,0:09,"So, hello, and thank you for coming to share your story with us today as part of the Children of the Struggle Oral History collection. We are at New Day Christian Church in Morganton, North Carolina on Saturday, November 9th, 2024. And we are talking with Gary Harbison. My name is Alex Bouk, I'll be your primary interviewer. We also have in the room, Keya Nandi and Ethan Scheurich. We are all students at Appalachian State University, and we are conducting these interviews as part of a class project. We have a standard set of 22 questions, and we may or may not get through all of them, depending on what you'd like to share with us. If there is any question you prefer not to answer, we'll be happy to move, move on to another one. If there's anything you'd like to share that we don't ask you, there will be time for you to just Sure. Do whatever you'd like to do. Uh, we wanna thank you again for your participation and we'll get started. So, um, what is your name, and did you have a nickname or a different name when you were in school?",
,,,
Gary Harbison,1:04,"My name is Gary Harbison. That's Gary Harbison Senior. Uh, in elementary school, they called me Gary. Uh, when we integrated into middle school, they called me Harb <laugh>, which is short for Harbison.",
,,,
Alex Bouk,1:23,What school did you attend before desegregation?,
,,,
Gary Harbison,1:27,It was Mountain View Elementary School.,
,,,
Alex Bouk,1:34,And how old were you when your school was integrated?,
,,,
Gary Harbison,1:36,I was 14.,
,,,
Alex Bouk,1:40,What was it like being black in Burke County when you were a child?,
,,,
Gary Harbison,1:45,"Well, uh, growing up in a predominantly black neighborhood, of course, uh, our favorite meeting place was Mountain View Recreation Center. It was a, I had fun, we had intramural sports. We played football, basketball, baseball, and also, uh, the adults played baseball. And we had other, uh, communities from, uh, a far city, Gastonia. They would come to Mountain View Recreation Center for entertainment, uh, competing sports. And also we had a swimming pool, which a lot of these communities didn't have. So they would bring busloads of, uh, people there to Mountain View Recreation Center to enjoy the facilities. But overall, we had dances; We had a, we had a great time, uh, because everybody knew each other. And so we just sort of got along. And of course, there were a few fights along the way with older individuals, but most of the time it was, it was a good childhood.",
,,,
Alex Bouk,2:48,Did you ever travel outside of Burke County as a kid or experience kind of like the different elements of what was going on?,
,,,
Gary Harbison,2:54,"Uh, no, not really, because my parents, they worked and, uh, on the weekends that was their times to relax and stuff. Relax, yeah. So, no, I never got to travel outside",
,,,
Alex Bouk,3:05,What did your parents do for work?,
,,,
Gary Harbison,3:07,"My dad worked at Great Lakes Carbon Plant, uh, and my mom worked for Gerald Drexel Heritage.",
,,,
Alex Bouk,3:14,"Mm. We've talked about Drexel, yes.",
,,,
,3:19,"When you found out that you would be going to a school with white children, how did you feel?",
,,,
