speaker,timestamp,words,tags
Leslie McKesson,0:01,"Okay, Andrea, I am going to ask you to spell your full name for me, please.",
Andrea Chambers Lytle,0:09,"It's Andrea, A-N-D-R-E-A, C for Chambers, Lytle, L-Y-T-LE.",
Leslie McKesson,0:19,"Okay, thank you. This is an interview with Andrea Lytle on April 9th, 2022, and the interviewer is Leslie McKesson. Andrea, you are one of the children of one of what we call the West Concord Mothers.",
Andrea Chambers Lytle,0:47,"Yes, the Seven Mothers.",
Leslie McKesson,0:48,The Seven Mothers. Tell me about that. What is the proper name for this group of women that we're talking about?,
Andrea Chambers Lytle,0:57,It was the Seven Mothers.,
Leslie McKesson,0:58,The Seven Mothers?,
Andrea Chambers Lytle,,Yes.,
Leslie McKesson,1:00,Okay. When was that name first used?,
Andrea Chambers Lytle,1:08,"It was first used when they got together, all these mothers came together. There was six from the West Concord area, and then one that came from I would say Vine Arden. That was Laura-- What was her name?",
Leslie McKesson,1:28,Thomas,
Andrea Chambers Lytle,1:28,"Thomas, yes. Laura Thomas. There was my mother, Willette Chambers, my aunt, Annie J. Hicks, Rose Johnson, Mildred Largent who spearheaded the whole thing, Ms. Lucille Rutherford, and, she's a Forney.",
Leslie McKesson,1:55,Beverly Charles's mother.,
Andrea Chambers Lytle,1:56,"Beverly's mother, yes.",
Leslie McKesson,1:59,"I know who you're talking about, and I've got her name written down. What are your earliest memories of the Seven Mothers?",
Andrea Chambers Lytle,2:10,"My earliest memories was once they met in the community, then they reached out to Reverend McIntosh, and he had them come into his house up on the I used to call Yellow Mountain Road. They would go in at night, and they would meet on several occasions until he helped them to develop a plan on how they were going to get their children going to the segregated schools.",
,2:51,"There was like Forest Hill which was closer to West Concord Street. We all used to have to go to Mountain View. (I'm going to have to pull this down.) I went to Mountain View up until the fifth grade. In 1964, that's when they did the integrations of the schools. At that time, there was four of us from my family that went to Mountain View school and that was Gary, Dennis, Jeannie, and myself.",
Leslie McKesson,3:33,Wow.,
Andrea Chambers Lytle,3:33,"Well, one of the reasons they wanted us to go to Forest Hill because it was closer to home, and Mountain View was way across the other side of town. The way we got to school because there was no bus service, we all had to go in a taxi.",
Leslie McKesson,3:51,"Oh, wow.",
Andrea Chambers Lytle,3:51,"Boonie Fleming was the taxi that transported us to Mountain View. Forest Hill was within walking distance. Part of the plan was once they came together with a plan, the parents escorted the children to the Mountain View school. There was four-",
Leslie McKesson,4:20,To Mountain View or Forest Hill?,
Andrea Chambers Lytle,4:22,Forest Hill.,
Leslie McKesson,4:23,To Forest Hill school.,
Andrea Chambers Lytle,4:23,"Yes. There was actually four of us. It was documented in my talk with Judge Sitton, but as I read the literature that's been printed and everything, there's no mention of us, the four that had to go to Central. Where the courthouse sits in downtown Morganton, there was a school called Central. That school was where a lot of the children from Riverside Drive and put all their little kids--",
Leslie McKesson,5:03,It was Central what?,
Andrea Chambers Lytle,5:06,"I guess it was an elementary, middle school all combined but it was called Central. People that actually went to that school was Robert Forney, Beverly Forney, Marilyn Forney, and myself.",
Leslie McKesson,5:33,Marilyn?,
Andrea Chambers Lytle,5:34,"Forney, which was basically Beverly Forney's sister, baby sister. We were all supposed to have been, well, at the time of integration, I had passed the fifth grade at Mountain View, but when we got sent to Central, Bobby Forney and myself got put into a special ed class.",
Leslie McKesson,5:58,Wow.,
Andrea Chambers Lytle,6:02,"While we were in that class, that classroom consisted of a lot of children that had physical and mental development. We were more like an assistant to the teacher than we were getting an education.",
Leslie McKesson,6:22,Wow.,
Andrea Chambers Lytle,6:23,"We had to help the teacher and take the kids to the restroom and do all that type of things. During that time, Bobby, I call Robert Forney, Bobby, he and I was on, I guess, it was, I don't know, quarterly basis or something. We was visited by a psychologist that came and gave us the inkblot test. Every time they did the test, they would come back maybe a couple of weeks later and say, ""We don't understand.""",
,7:01,"I say, ""Well, what is it you don't understand?"" ""Well, we just have to continue testing."" They did that test for a year and a half. That final year that they did that testing, they told us, ""We made a mistake."" That's when I sit back and I said, ""You made a mistake? Okay. What are you going to do to rectify this mistake?"" They said, ""Well, we have to talk to the principal and some other people and get your parents to come in.""",
,7:42,"When they tried to, with the church, when they came to try to make it right, they said, Okay, we can put you back into fifth grade. I said, ""Why is that?"" They said, ""Because half of the school year is over and to put you back in your regular grade would not help you. So I got put back into the fifth grade. That was the year that I went to Forest Hill and finished the fifth grade, the sixth grade after two years taken from me. That put me into the grade with my sister and my brother.",
Leslie McKesson,8:28,You never got to catch up. You just lost the year.,
Andrea Chambers Lytle,8:31,I lost two years. They took two years out of my life.,
Leslie McKesson,8:36,Two years?,
Andrea Chambers Lytle,8:37,"Yes. When I went to junior high, in high school, especially high school, I could not play sports. I played one year of basketball, and then I couldn't play anymore because they said I aged out of the program. That was not my fault but their fault. There was a lot of mistreated students there. When teachers asked other students, the white students, to assist us in math or something like that, they called us names, all kinds of names.",
,9:26,"Even when walking home, from the junior high back to West Concord Street, there was three of us that used to walk together and that was Candace Forney, Revelee Ervin, and myself and the kids would not let us on the sidewalk. They would come down the sidewalk singing the N-word and push us out into the street. That went on all that year, but we had to fight. I hate to say it, but we had to fight. Every time we fought, we got reported to the schools. The schools would contact our parents and tell us that they need to do something about it or else we were going to be suspended from school. It put a lot of hatred in me during that time.",
Leslie McKesson,10:25,"The kids, the white kids were never punished or reprimanded?",
Andrea Chambers Lytle,10:31,"No, never, never. I had to endure that. It hurt, but we fought. Then finally, after so many fights with the kids, they started letting us pass. [silence] That went on up until, I guess you would say, when we got to high school. It leveled off a little bit. It wasn't as bad.",
Leslie McKesson,11:14,"Help me get my head around the timing here. You went to Central School in the fifth grade, right?",
Andrea Chambers Lytle,11:28,"Yes, supposedly.",
Leslie McKesson,11:28,"When you were in the fifth grade, but then they--",
Andrea Chambers Lytle,11:31,"I had finished. At the time they integrated the schools, I had just finished Mountain View, and then when they integrated the school, I was sent to Central.",
Jeannie Chambers Logan,11:47,Wasn't it 1963?,
Andrea Chambers Lytle,11:48,64 somewhere?,
Jeannie Chambers Logan,11:49,"63, because I remember my teacher Ms. Putnam. I was in her class, and that was the third grade. I went to Ms. Putnam. Y'all took the beating more than we did.",
Andrea Chambers Lytle,12:08,We got the worst beating.,
Jeannie Chambers Logan,12:09,"Andrea and them got the beating more than we did. We was not accepted that much, and they tried to sit us in the back of the class and Mama made them bring us up to the front. She said, ""I want her up front.""",
Leslie McKesson,12:23,Tell me what year--,
Andrea Chambers Lytle,12:25,"I think it was '63, somewhere around there.",
Leslie McKesson,12:32,"Jeannie, you were in third grade?",
Jeannie Chambers Logan,12:35,"Third grade, yes.",
Leslie McKesson McKesson,12:37,"Andrea, you were in--",
Andrea Chambers Lytle,12:40,I guess I'd be in-- [crosstalk],
Leslie McKesson,12:41,You'd be in fifth at that time?,
Andrea Chambers Lytle,12:43,I should have been in the sixth grade because then they held me back.,
Leslie McKesson,12:57,"When the teacher was trying to make you sit in the back, was that happening to all of the black kids that were in the class with you?",
Jeannie Chambers Logan,13:10,I'm trying to see how many was in there with me.,
Andrea Chambers Lytle,13:13,"Was Gary Dean in there with you? They separated y'all, Jeannie was a twin.",
Jeannie Chambers Logan,13:17,"We were separated. It wasn't that many of us, but I do remember Mama speaking up and saying, ""I want my child up front.""",
Andrea Chambers Lytle,13:25,"It was you, and Freda and them, and Mildred's children Kakie and Wanda-",
Jeannie Chambers Logan,13:34,"That went to Forest Hill, and Frank Corpening.",
Leslie McKesson,13:42,One of the things that she did was to speak up for you and get you moved off the back of that class?,
Jeannie Chambers Logan,13:56,Yes.,
Andrea Chambers Lytle,13:56,"Even when my parents went to speak up for me, when they told them that they made a mistake, they said they couldn't do anything about it, except put me back in the fifth grade and start all over again.",
Leslie McKesson,14:06,Wow. That had to be so frustrating.,
Andrea Chambers Lytle,14:17,"It was, it really was.",
Jeannie Chambers Logan,14:21,There was always fights at the school.,
Andrea Chambers Lytle,14:26,"Oh, yes because of the anguish and the calling of names. [silence]",
Leslie McKesson,14:40,How did this make you all feel?,
