speaker,timestamp,words,tags
Sara,0:00,"Hi, and thank you for coming to share your story with us today as part of the Children of the Struggle Oral history Collection. We are at the New Day Christian Church in Morganton, North Carolina on Saturday, November 9th, 2024. And we are talking with Andrea Lytle. My name is Sara Proper and I'll be your primary interviewer. We also have in the room Ashley Blanchard, Samantha Kinton, and Sarah Wiederhold Got it there. My bad. We are all students at Appalachian State University and we are conducting these interviews as a part of a class project. We have a standard set of 22 questions, and we may or may not get through them all depending on what you'd like to share with us. If there's any question you prefer not to answer, we'll be happy to move on to another one. Again, thank you so much for your participation. Let's get started.",
Andrea Lytle,0:46,Okay.,
Sara,0:47,So we're gonna start with your name and if you had any nicknames.,
Andrea Lytle,0:50,"Okay. My name is Andrea Chambers. I was a Chambers during the struggle. Okay. Mm-Hmm. <affirmative>. And I've been married for 35 years, so it's Lytle now. Some people say little, and I say it's Lytle <laugh>. Okay. Um, you, so you was asking me my name, um, what was the other part?",
Sara,1:12,"Oh, any nicknames that you had, like growing up.",
Andrea Lytle,1:14,"Um, in high school they called me Hot Pockets because I played basketball for the first year of my high school year. Um, other than that, I hear the name Andrea. Andrea, um, Andrea. So I told 'em I'm not hung up on the name. If it sounds close to my name, I'm gonna respond <laugh>.",
Sara,1:40,"Um, so what school did you attend? Um, before desegregation?",
Andrea Lytle,1:44,"Before desegregation, I went to Mountain View Elementary School until up to the fifth grade.",
Sara,1:50,"And then after,",
Andrea Lytle,1:51,"After that I went to Central, downtown Morganton. Um, there was, it was a predominantly white school, and that was back in 1963 and there was only four students, black students that entered that school. And out of the four, we entered that school, we walked to school together, we would enter the school, but then that's the only time we saw each other until we got ready to leave the school. And during that process, I ended up in a special ed class. Why? To this day, I don't understand it, but I did ask questions when the psychologist, uh, would come in and do her assessment. And the first thing she told me the first day after the evaluation, she said, Hmm. And I said, what do you mean? Hmm? She said, something is not right. I said, okay, so what are you gonna do? She said, let me talk to the principal and we'll get back with you.",
,2:57,"So that was the first quarter of school. Then the second quarter, she came back and did another reassessment. And she said to me, Hmm. Because back then they did the ink block, you know, tests and everything. And I said, you said, Hmm. Again, so what are you saying? And she said, I just have to get back with you. Well, the second year she came back in the fall and she did her assessment again. And she said, Hmm. I said, you keep saying hmm, what are you trying to tell me? You know? And she said, well, I said, you said you was gonna get with the principal and the school, uh, social worker, and y'all was gonna get back with me. Nobody got back with me. So she said, uh, we'll get back with you. So in the spring when she came back, she said, we made a mistake.",
,3:58,"I said, you made a mistake, so what are you going to do about it, <laugh>? And she told me, she said, well, first I have to get with the principal and some other school officials, and then we will have a meeting with your parents and we'll get back with you. Well, they met with my parents and then she came back and she said, well, this is what's gonna happen. We're gonna put you back in the fifth grade. I said, but I completed the fifth grade, so why are you gonna put me back into fifth grade? Well, the school year is halfway over, and so we'll just put you in the fifth grade and let you start in the sixth grade the following year. I wasn't pleased, <laugh> okay. But I had no choice because at the time I entered the school, I was the 11 years old. Okay. So I look at it that they stole two years of my life by putting me back instead of having me to go forward. And I was a set of twins in my family. I was the middle of seven children. And I got in, put in the grade with one of the twins and everybody thought we were the twins. And I said, no, he has a twin, but it's not me.",
Sara,5:19,"Um, so what was it like being black in Burke County when you were a child and did you ever travel outside or like experience any different treatment in other places or any of that?",
Andrea Lytle,5:30,"In Burke County? Just walking in downtown Morganton reading the signs, uh, at the water fountains, they would say for white only. And then there other areas, it was, you know, you could drink out of these fountain if it said for black. Um, going into the stores, you know, uh, everybody, when Woolworth was in town, everybody you walk in and they would look at you like you weren't supposed to come in this entrance, you were supposed to use the back entrance. Um, that was my experience in the downtown area. But going to school, once I got out of, uh, central, I went to, uh, Forest Hill. That's where my siblings went to school. That's the closest school to my neighborhood. And there was like 13 children that went to Forest Hill where I had to go all the way across town. And there was another young man, uh, named Robert Forney that was in, in the same class.",
,6:31,"They put us both in the same special ed class. And during that process, after we got out and went to regular school, and then when we got to, uh, the junior high school, it was like we would walk home to West Corncard Street from, uh, the Morganton Junior High and the kids that was in the ninth grade, they would come across the hill and we'd go on the other way to get home. They would come down the hill singing the N word we hate, you know? And that went on for several, several days and I had a lot of anger in me, and I told the two young ladies that was assisting me, I said, well, I'm gonna say this. Are we going to continue to let them harass us, push us out in the street, or what are we going to do about it?",
,7:27,"And they said, we need to, you know, fight for our rights. I said, okay, that sounds good to me. I said, I'm gonna tell you what, I'm gonna take the guy. Y'all can take whomever you want to <laugh>. So one evening we were headed home and they were coming down the street singing the N word again, we hate, you know, and kept on going with that. And so I grabbed the fellow and they started whooping on the females. And then next day I go to school, I'm called into the principal office and they told us that that kind of behavior was not accepted. I said, but what about calling me outta my name? And then, um, not only that experience, there was a teacher in, I guess it was in the seventh grade that allowed her students to call me the N word. And I didn't appreciate that.",
