speaker,timestamp,words,tags
Alex Bouk,0:00,"<silence> And make sure we're recording. Beautiful. We have a little backup recording device that we're  learning how to use right now. So, um, I'm gonna go ahead and begin our interview. So, hello and thank  you for coming to share your story with us today as part of the Children of the Struggle oral history  collection. We are at New Day Christian Church in Morganton, North Carolina on Saturday, November 18, 2024. And we are talking with Charles McKesson or Jay Alexander. Can you tell us where you are  zooming us from?",
Charles McKesson,0:32,"I am from Lexington, Kentucky.",
Alex Bouk,0:34,"Beautiful, beautiful. My name is Alex Bouk and I'll be your primary interviewer. We also have in the  room Keya Nandi, who took your biographical information and Ethan Scheurich to my left who will be  taking notes. Um, We are all students at Appalachian State University and we are conducting these  interviews as a part of a class project. We have a standard set of 22 questions, and we may or may not get  through all of them depending on what you'd like to share with us. If there is any question you prefer not  to answer, we'll be happy to move on to another one. Again, we wanna thank you so much for your  participation and let's get started. Okay. All right. We're gonna ask you some background questions just  for our recording purposes. Um, what is your name and did you have a nickname or a different name  when you were in school?",
Charles McKesson,1:25,"Uh, Charles Harold McKesson. I grew up by the name of Chuck, Chuck McKesson.",
Alex Bouk,1:30,Chuck McKesson. Beautiful. And what school did you attend before segregation? Before desegregation?,
Charles McKesson,1:38,I didn't. I was the first year going into desegregation in 1966 and Hillcrest Elementary was my primary  school.,
Alex Bouk,1:47,Wonderful. And how old were you when your school was integrated?,
Charles McKesson,1:51,Six years old.,
Alex Bouk,1:52,"Six years old. Um, what was it like being black in Burke County when you were a child?",
Charles McKesson,1:59,"I didn't know any better. Uh, that was my first school attending. My older brothers went to segregated  schools. Uh, I was the first one to attend a desegregated school, and so I didn't know any better.",
Alex Bouk,2:14,Right. Okay. Did you travel outside of Burke County very often or experience different treatment in other  places?,
Charles McKesson,2:22,No.,
Alex Bouk,2:25,"Um, when you found out that you were going to be going to a school with black and white children, um,  how did you feel about that? I know you said you didn't know any better, but were there any like, kind of  preconceived notions about being there?",
Charles McKesson,2:38,"I, I didn't, uh, I spent a lot of time with my grandfather. He was just right across the garden as we said it  when I was growing up. And so me and my brothers and my sister, we spent a lot of time, I, I remember  this like it was yesterday because I still see that look and hear the tone in his voice to this day. He was a,  he was a thorough consumption of CBS evening news with Walter Cronkite. So that evening, Walter",
,,"Cronkite announced that all the court cases were done. Schools had to be desegregated. I was happy  because I would be going close to home to Hill-Hillcrest Elementary School. My grandfather, who we  called Daddy Charlie, he was in his rocking chair and he was just shaking his head. And I, as a child,  being inquisitive as I was",
,4:13,"n-word.""",
Alex Bouk,4:14,Right.,
Charles McKesson,4:15,"He said, ""Man, can change the law, but you cannot change the heart of the man who wrote that law."" And  to this day that, that, that still sticks with me.",
Alex Bouk,4:28,"Yeah, it",
Charles McKesson,4:29,Really does.,
Alex Bouk,4:29,Yeah.,
,4:31,"That is, that's very, very wise words from him. I really appreciate you sharing that with us. So, um,  obviously he had a very big influence on your life, and that's very, very wonderful and I'm very glad that  he still sticks with you to this day. That's very beautiful. Um,",
Charles McKesson,4:50,Thank you.,
Alex Bouk,4:50,"In terms of kind of the opinion and what things were people were saying, what were the general feelings  about this event in your community?",
Charles McKesson,5:02,Scared.,
Alex Bouk,5:03,Scared.,
Charles McKesson,5:03,"Everybody was, was afraid. Apprehensive.",
Alex Bouk,5:06,Yeah.,
Charles McKesson,5:07,"Because they didn't know what was going to happen. They were afraid. He was afraid. My parents were  afraid, but they hoped for the best because that's what they, they fought for.",
Alex Bouk,5:18,Right.,
Charles McKesson,5:18,Is for the equalization for their children to go and be treated as equals.,
Alex Bouk,5:24,"Yeah. Um, do you remember what kind of differences stood, stood out to you? I know it was very early in  your education, but the differences between integrated schools versus the white schools or the black  schools. Do you remember any kind of differences between those?",
Charles McKesson,5:41,"I couldn't tell any because that was my first right time stepping foot into a schoolhouse. Yes. So at that  point, at six years old, being so impressionable as I, it was, I thought it was just normal.",
Alex Bouk,5:53,"It was just normal to you. Perfect. Um, in terms of your classes, do you remember the racial makeup?  Like how many white and black kids or how many other ethnicities you saw in your classes day to day?",
Charles McKesson,6:09,"Uh, we had my first grade class, if I can remember, three, four. But we had separate first grade classes,  three or four first grade classes.",
Keya Nandi,6:20,Mm-Hmm.,
Charles McKesson,6:21,And it was three or four black kids in my first grade class with me.,
Keya Nandi,6:25,Okay.,
Charles McKesson,6:26,"And the rest was white and I don't know how, how large the class was. I can't remember that.",
Alex Bouk,6:31,"Okay. Did that change over time? So as you went up through the grades, did those kind of, um, makeup  change,",
Charles McKesson,6:37,"T he balance? Stayed, pretty much stayed the same.",
Alex Bouk,6:39,"Perfect. Um, in your experience, how were like the relationships between students of different races?",
Charles McKesson,6:47,"I'm sorry, you were breaking up on that question. Oh,",
Alex Bouk,6:49,"Sorry. In your experience, um, at school, how were relationships between students of different races?",
