speaker,timestamp,words,tags
Alexis Robinson,0:00:00,"There we go. Right, right. Set. I already turn that on. You got that one on? Mm-Hmm. <affirmative>.",
Ella Lowman,0:00:05,Okay.,
Alexis Robinson,0:00:05,"You try testing that for us, Rita?",
Rita Rankin,0:00:07,"Sure. Testing 1, 2, 3. Testing.",
Ella Lowman,0:00:10,She here. You may need to move through.,
Alexis Robinson,0:00:11,Think I just hear it through.,
Hayden Zeagler,0:00:13,You probably need to move them up closer.,
Rita Rankin,0:00:15,Me closer? Or the mic?,
Clara Wilson,0:00:17,"No, you could stay where you are.",
Hayden Zeagler,0:00:18,"As long as you're comfortable, doctor.",
Rita Rankin,0:00:20,"Oh, I'm going get comfortable. So I'll stop sweating. <Laugh>.",
Hayden Zeagler,0:00:23,That's perfect. Alright.,
Rita Rankin,0:00:25,"Try again. Okay. Testing one, two. Testing.",
Ella Lowman,0:00:29,"Good. Okay, great. Yay. We've all become a little techie productionist",
Rita Rankin,0:00:35,I am sure.,
Ella Lowman,0:00:36,You have. Yes. Let's see. Thank you for coming.,
Rita Rankin,0:00:40,Sure.,
Ella Lowman,0:00:41,"and for being willing to share your story with us. We, so my name is Ella. We can do introductions first.",
Alexis Robinson,0:00:49,Yeah. My Name's Lexi.,
Hayden Zeagler,0:00:50,Nice to meet you. I'm Hayden Hayden.,
Clara Wilson,0:00:52,And I'm Clara. Clara.,
Ella Lowman,0:00:54,"And so thank you so much for coming to share your story. Today as a part of the Children of the Struggle oral history collection. We are at New Day Christian Church in Morganton, North Carolina on Saturday, November 9th, 2024. And we are talking with Rita. My name is Ella and I'll be your primary interviewer. We also have Lexie, Hayden, and Clara in the room. We are all students at Appalachian State University. And we're conducting these interviews as a part of our class project. We have a standard set of 22 questions but this is your interview, so anything you want to share and you feel prompted to share, this is your space. And we may or may not get through all those questions, but it's okay. Okay. And if there's any question you prefer not to answer, let us know and we'll just move on. And again, thank you so much for your participation and we can get started. So first off, what is your name?",
Rita Rankin,0:02:05,<Laugh>. My name is Rita Rankin.,
Ella Lowman,0:02:08,And did you go by any nicknames?,
Rita Rankin,0:02:09,"And I, I just go by Rita.",
Ella Lowman,0:02:11,Rita?,
Rita Rankin,0:02:11,Mm-Hmm. <Affirmative>.,
Ella Lowman,0:02:12,That's a beautiful name. Thank you. And what school did you attend or work at before desegregation or during desegregation?,
Rita Rankin,0:02:21,"So, I, initially, I started school at first grade Uhhuh. And I went to first and second grade at McAlpine Elementary, which was just for the Black students. And then at third grade, I went to Glen Alpine Elementary, and that's the school I finished. Uhhuh, <affirmative>, the cycle through junior high. Okay.",
Ella Lowman,0:02:42,Through junior high. And how old were you? So you were in elementary?,
Rita Rankin,0:02:51,"I was probably seven. Seven going on eight. Okay. I was probably eight. My birthday fell in the fall, so I would've been third grade and turning eight, I believe.",
Ella Lowman,0:03:02,"Yeah. Mm-Hmm. <Affirmative> third grade, turning eight. And what was it like being a Black student, a Black child in Glen Alpine or in Burke County when you were a child? And did you travel outside Burke County often, or experience different treatment beyond the county?",
Rita Rankin,0:03:19,"Yeah. I didn't travel outside of Burke County that I remember until probably sixth grade, The summer of before sixth grade. And we went to DC actually to the Capitol, to the White House year, all that stuff. And my mom's brother lived there, so we had a great time. But you're okay.",
,0:04:22,"But prior to going to the school, to Glen Alpine, I remember, you know, the Colored water fountains. I remember being in town with my mom and dad and using the Colored water fountain that is now well, it's now gone, but it's the basement of the old jail area where the, the courthouse square is that beautiful new park where we, or area where we can have music and, and all that stuff. But you know, so I remember a lot about that time. I remember that we were segregated. You know, I knew that from having the tv I remember you know, things like John F. Kennedy's assassination, you know, my mom getting that phone call. So, you know, I knew what was going on.",
Ella Lowman,0:05:10,Mm-Hmm.,
Clara Wilson,0:05:10,<Affirmative>,
Rita Rankin,0:05:12,Generally.,
Ella Lowman,0:05:13,"Yeah. Yeah. And here, lemme move on to the next one, but with the, I was just gonna ask with the color, the water fountain at that time and the separation between that and now moving into you like events being held there. Do you, when you're there, does it strike up any memories or, yeah,",
Rita Rankin,0:05:36,I'm never really comfortable there because the Confederate statue is on the other side.,
,0:05:42,"I, you know, that it is not a comfortable place sitting there. I don't go to usually go to those events. Like summertime, we have a great TGIF of bands come every Friday, different bands from like May to the end of Summer. And I, I go, if someone invites me or you know, the kids, my young people say, “Hey, let's go.” Which doesn't happen often, but, you know, I would go, but it's not something I look forward to. And so I purposefully miss, you know, seeing like the entertainment on the square. 'Cause I just don't feel comfortable there, you know? And I do, I know when they were renovating it and they did away with the old jail and, you know, I, my constant wonder has been, you know, that history is, is gone and, you know, we, it's not like we wanna see it every day, but we don't want it to people to forget. Yeah. And, and a lot of people don't know, you know, I was walking in a museum in Atlanta, the one beside the aquarium, I believe it's a civil, the Civil Rights Museum. And there was a large group of students with a guide and their teachers. And I said to the guide, 'cause I couldn't not say anything 'cause we're in this museum with all this history and, but the history was my life.",
Ella Lowman,0:07:08,Yes.,
Rita Rankin,0:07:09,"And I was, I, I told her, I said, I know you know, you, you have a plan for your students, but I was a a kid during this time. So if you if they have any questions for me, I'd be glad to answer. You know, it's just, it's a unique history to have. Mm-Hmm. <affirmative>",
Clara Wilson,0:07:28,"You said with the like underlying, like you don't go to the town meetings and everything 'cause of like the underlying history that you remember being there. Are there any places in town that you have like a positive like connection to, like your past or anything around town that make you feel like happier about back that time in your life?",
Rita Rankin,0:07:50,"I would say being with my friends that, that we grew up with. 'Cause we were like in, you know, pockets of the county because before we went to high school, when we, when we were ninth, ninth graders, they built our, our high school and consolidated the four Glen Alpine, Oak Hill, Salem, and Morganton schools into one. And we, we have recently started the class of ‘76. We've recently started just trying to get together some of us that grew up in Glen Alpine together and went to school in Glen Alpine. And that gives me joy. That gives me joy. You know, I do go, like I say, I would, I would go to the courthouse for things I'm interested in. I know from time to time they have like an open day at the courthouse that where it's used for court business. Mm-Hmm. <affirmative> and things. I know Leslie's been a part of that. 'Cause that's probably where I've seen it before.",
Ella Lowman,0:08:57,Yeah.,
Rita Rankin,0:08:58,"Throughout my social media, I would, I enjoy history and, you know, I would go for something like that. But, and I've even been up there that a lot of times when they do our September festivals or whatever, there'll be vendors up there and if you want to see what the vendors have you, you have to go up there, you know, <laugh>. So we, I think the interesting thing is, a few years back, couple, two, three years back, maybe pre-COVID the conversation continues to come around about removing the statue and where to put it. And of course, the people that want it there just completely are, you know, just outside of themselves over the fact that we would even, or that anybody would want it moved. And in the newspaper article the last time, you know, comments and stuff, I just, it stood out when someone said that that statue doesn't bother anyone. They don't care about that. And it, it's just another awareness or reminder that, you know, the folks that believe in the statue or don't mind it being there, don't understand what it means to us.",
Clara Wilson,0:10:09,Mm-Hmm. <affirmative>,
Rita Rankin,0:10:09,"And how it impacts your daily life. You know, I, I drive by there, you know, through town and you just, you know, you just wanna make a, like, let's put it somewhere. Come on. Yeah. We're past that. Yeah. Well, we would think,",
Ella Lowman,0:10:25,"Yes. Yes. We would think. So going back more into the education experience and the integration. When you found out you're gonna be going to a school an integrated school, we kind of talked about you couldn't exactly pinpoint feelings. But do you have any memories around that?",
Rita Rankin,0:10:47,Mm-Hmm.,
Ella Lowman,0:10:47,"<Affirmative> and your parents, perhaps your parents or guardians, what their thoughts were",
Rita Rankin,0:10:53,"On that? Yeah. sadly, I can't remember specifically.",
Ella Lowman,0:10:57,Yeah.,
Rita Rankin,0:10:57,But my parents were the kind of parents that you did what you were supposed to do.,
Ella Lowman,0:11:02,Mm-Hmm.,
Rita Rankin,0:11:02,"And they always told us you know, “You have to be better. You, you have to be two times better. You're gonna have to do,” you know, so you, I'm sure at eight they, they might not have been saying that, you know, but as time, you know, probably within the next, within the next few months they were gonna be saying it. But yes, it, they were, you do what you're supposed to do. And so it was, get ready to go to school. School was the most important thing outside of church and family. And so education was the most important thing. I don't remember any specific things about them, but I do remember that one of the things that sticks out at, as I was thinking about this interview is in around probably third grade, but fourth grade I had this, had the friend, her name was Cynthia. And wonderful, wonderful friend, you know, she was white and we made friends at, after we met there at Glen Alpine, and we would talk on the phone every day. <Laugh>, you know, we had the phone on the wall, so we were, you know, in the kitchen on the phone. I was every day. And I remember getting a phone call one day and we were in fourth grade. And, and so the second year or so, and her dad said we couldn't be friends anymore.",
,0:12:18,"And I remember saying, you know, “Why?” Because that was the obvious first response. But in my heart, I knew why, told my mom and dad, and I remember her explaining, yeah, you know, “It's because you're black and she's white.” And we knew him because well knew of him. They did, because he ran a local store with his name on it, you know, in Morganton. So I've never forgotten, you know, I've passed by that store. It's a store. It's just a friendship that, you know, we weren't able to continue. But we, we still loved each other as friends and haven't seen her in years. But, you know, saw her say 25 years ago and, you know, it was just wonderful to see her. But the friendship ended.",
Ella Lowman,0:13:03,Yeah. Yeah. So.,
,0:13:05,"Well and then with the transition between, so that kind of touches a little bit on it, but the transition between segregated schools and, you know, going to McAlpine, but McAlpine did you notice any specific differences?",
Rita Rankin,0:13:28,"When we were at McAlpine in first and second grade? Mm-Hmm. <affirmative>, we would get to school early.",
Ella Lowman,0:13:33,Yeah.,
Rita Rankin,0:13:33,"You know, on the bus. Our bus driver was, you know, everybody around us was Black.",
Ella Lowman,0:13:38,Yeah.,
Rita Rankin,0:13:39,"So you, you know, that's important because you saw people in, you know, even, even now, it means more to me now because we saw people in those roles that we eventually didn't see them in anymore. But we would go in the mornings have breakfast, we'd actually watch, I can remember watching a little tv. That's the only time I remember ever watching The Three Stooges. ‘Cause we didn’t watch at home <laugh> and we would be, we would be in what was the auditorium, you know? And it was the cafeteria, the auditorium. It was the multipurpose room. And then we had, it was a very, I remember us having rhythm band in first grade and, you know, our teachers were, they looked like us. And I think just going, going to Glen Alpine, it was just a whole different landscape. You know? It was just different. There wasn't that feeling like you're being necessarily nourished in the ways that we were at McAlpine.",
Ella Lowman,0:14:48,Mm-Hmm. <affirmative>. Mm-Hmm. <affirmative>. Yeah.,
Rita Rankin,0:14:51,That was more of a feeling then.,
Ella Lowman,0:14:53,Yeah.,
Rita Rankin,0:14:53,"Yeah. But it was because things were different. You know, you're, you no longer saw Black teachers. I'm trying to think. Probably the next time I had a teacher of color was at 10th grade when I took Spanish.",
Ella Lowman,0:15:08,Mm-Hmm. <affirmative>.,
Rita Rankin,0:15:09,"So, you know, things just changed.",
Ella Lowman,0:15:11,"Mm-Hmm. <affirmative>. Mm-Hmm. <affirmative>. Yeah. Yeah. Wow. okay. And then with, yeah, with teachers and with your experience at Glen Alpine, did you see do you have any specific memories with treatment from specific teachers?",
Rita Rankin,0:15:30,"Yeah. Yeah. That's one of the things I thought about. You know, you can remember, I can remember the teachers who were, they’re teachers. Like my third and fourth grade teacher. I try, I, I can't remember. I remember a name and I think she was the fourth grade. Can't really remember the third grade teacher. But the fifth grade teacher was mean to us. And she ended up being our seventh or eighth grade teacher. 'Cause when we went to junior high, we ended up back at McAlpine. All of us from Glen Alpine, because they used, I guess maybe size was an issue then or something, or they were trying something new. But they put seventh and eighth grade in a different place. Okay. So we were back up on, on Kathy Road at McAlpine, where we had gone to school in. And, and I remember my fifth grade teacher turned, she was ending up being my eighth grade teacher. Or maybe we changed classes, I don't remember. And we had her for math. She was so horribly mean and never smiled. And she was just mean to us. And so I remember her. I remember you know, you remember my sixth grade teacher, lemme tell you about the fifth grade teacher she put us in.",
,0:16:54,"She fixed our desk based on our grades. So I can't remember the names of who was first you know, but they were all white females except for a couple of the, the two young men that I can remember that were always making A's. And then, and she had those chairs slanted on. And then the middle was about three or four rows. And I was like, in the middle of the middle. And then over here she slanted and she had the kids who were, you know, it was all by our grade, whatever your grade average was. And so, of course, I can remember who was the last person in the seat. Can you imagine how he felt, you know. So and then I remember our sixth grade teacher, and, you know, I still remember her name and I've wondered about her so many times.",
,0:17:44,"Cause she was so sweet to us, you know? And and, and my, I have brothers who are younger than me, but my mom has, you know, had, had gone down. And my mom's was a wonderfully sweet, not really aggressive person at all. But she didn't teach us to fight. We weren't supposed to fight. If anybody did anything to us, we were pretty much supposed to not hit back, you know. But because of that fifth grade teacher that I had, who ended up having one of my, my brothers, I mean, she had to come to the school, you know, literally to talk to that teacher about the treatment of my brother. And another, one of the teachers I remember in fourth grade tore up my brother's homework. So things like that in front of him, in the front of the class because he did the wrong homework. And my mom had helped him with it. And 'cause he, you know, needed help and a fourth grader, and she tore it up in front of him. So another visit to the school, you know, she didn't have to do that for me. But, you know there were a lot of instances where we, we were mistreated, you know? And I think that one teacher, she, even though she may have liked those girls that she put over here on the side, she was just mean, period.",
Ella Lowman,0:18:58,Mm-Hmm.,
Rita Rankin,0:18:59,You know?,
Ella Lowman,0:18:59,Mm-Hmm. Yeah. Do you have anything?,
Clara Wilson,0:19:05,"You talked about like the differences between being taught by like Black teachers as opposed to white teachers. Mm-Hmm. Did you notice anything different, like with how you understood material with the different types of teachings?",
