speaker,timestamp,words,tags
Claude Sitton,,"Today is August the 23rd, 2015. I'm Claude Sitton interviewing a couple of people concerning desegregation in Burke County in the years around 1964-65 in that area. First of all, let me ask you to introduce yourself to us.",
Lucille Rutherford,,I'm Lucille Lytle Johnson Rutherford from Glen Alpine.,
Claude Sitton,,"All right, tell us a little bit about your growing up and what you did, where you went to school.",
Lucille Rutherford,,"My parents was Thomas and Sadie Lidle of Glen Alpine, and I grew up, I went to MacAlpine School in Glen Alpine. It was a little old school where we had to make fires, get wood in, get kindling in for this afternoon so they have fire the next morning. And we had an outside toilet, but we had a lunchroom somebody cooked.",
,,"And when we finished, we had the bus and we had to go to Olive Hill School.",
Claude Sitton,,"Now, Olive Hill was the high school, right?",
Lucille Rutherford,,"In Morganton Because you couldn't go to Glen Alpine. We lived in Glen Alpine, but you couldn't go to Glen Alpine White School. And we went on the bus whenever the bus would run.",
,,"Because you couldn't go to Glen Alpine. We lived in Glen Alpine. We couldn't go to Glen Alpine White School. And we went on the bus whenever the bus would run. Most time, the bus would be to us. We got the bus that the other kids, the white kids had used them first. And when they started getting in trouble, they passed them on to the McAlpine kids. That was us.",
Claude Sitton,,"They said then that things were separate but equal, but it wasn't so. Is that what you're telling me?",
Lucille Rutherford,,"It was separate. It was not equal, because we'd done the best we could, but we was, nothing was equal. And we got the buses that bring us in.",
,,"Sometimes the bus would stop and be on the side of the road half a day or whatever, and then we didn't get to go to school. We'd stay with the bus. They'd take us back home.",
,,"So we went to Morganton High School, Olive Hill. That was for four years. Then it went to 11th grade.",
,,And we graduated 11th grade...[hesitates] you need to ask me questions.,
Claude Sitton,,"All right. Now, how long did the transportation take you to get from your home to Olive Hill when you were going to high school?",
Lucille Rutherford,,"We left, we'd catch on the side of the highway, on a certain highway. It'd take anywhere from, if the bus was in good shape and went on down, we'd get there in the inside of 30 minutes. Okay.",
Claude Sitton,,And what time did you get home?,
Lucille Rutherford,,"School, got out at 3 o'clock, 3.15 or 3.30. And we'd come straight home after school. [Phone Rings] And in about 30 minutes, you would be back home and you'd let your outside road. We all lived off the highway, but then we'd walk on home because we had chores to do at home.",
,,We had to come home and do farm work.,
Claude Sitton,,"Okay Now, how many students do you recall was in your class at Olive Hill, roughly, each year?",
Lucille Rutherford,,"Hmm. In my class, I'd say that, you're talking about the rural, we went, well, we had a class from Oak Hill, and it wasn't, Glen Alpine, Beartown. It was empty.",
,,"We didn't have, we wasn't with the white kids.",
Claude Sitton,,Right.,
